img_id,version,ambiguous,r_id,directory,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,response_time_s,timestamp
16_disgust,o,False,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,5,9,0,0,0,0,0,disgust,29.1,05/07/2026 19:19:45
17_fear,l,True,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,0,0,3,0,0,0,9,neutral,41.48,05/07/2026 19:20:27
18_happy,g,True,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,0,0,0,6,2,0,5,happy,26.364,05/07/2026 19:20:53
19_neutral,b,True,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,4,0,0,0,3,0,6,neutral,30.58,05/07/2026 19:21:24
26_neutral,o,False,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,0,2,1,0,7,0,3,sad,35.232,05/07/2026 19:21:59
27_sad,l,False,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,0,1,3,0,9,0,0,sad,23.401,05/07/2026 19:22:23
28_surprise,g,True,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,0,0,2,3,0,10,0,surprise,29.913,05/07/2026 19:22:52
29_angry,b,False,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,10,3,0,0,2,0,0,angry,22.452,05/07/2026 19:23:15
6_sad,o,False,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,0,0,3,0,9,0,2,sad,28.569,05/07/2026 19:23:44
7_surprise,l,True,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,0,0,7,0,1,3,4,fear,19.503,05/07/2026 19:24:03
8_angry,g,False,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,8,2,0,0,10,0,0,sad,31.088,05/07/2026 19:24:34
9_disgust,b,False,009,/Users/sheharadineththappavarige/Desktop/expAI2/Test_images/test_9,3,7,0,0,1,6,0,disgust,52.923,05/07/2026 19:25:27
