source,ambiguous,version,version_name,n_images,n_detected,mean_cosine_similarity,mean_absolute_error,mean_js_divergence,dominant_agreement_rate,mean_human_entropy,mean_model_entropy
DeepFace,False,b,Blur,26,26,0.5647378220376168,0.15550071577370828,0.3986416233835905,0.46153846153846156,0.4842300836073499,0.295149958472598
DeepFace,False,g,Greyscale,26,26,0.6102081375478412,0.14783707161460236,0.3678852838617731,0.5,0.4842300836073499,0.2311085127100004
DeepFace,False,l,Low resolution,26,26,0.6227314376641941,0.1416301357796792,0.35374838924603746,0.5,0.4842300836073499,0.28231929694905455
DeepFace,False,o,Original,26,26,0.5960265295684608,0.1524981200716605,0.3802851088201477,0.48,0.49680288775495257,0.23157788752241856
DeepFace,True,b,Blur,9,9,0.5049719011752931,0.18089307519445016,0.41212613183648394,0.1111111111111111,0.6451338971468844,0.38330598561852813
DeepFace,True,g,Greyscale,9,9,0.490612423806873,0.1913603326276108,0.4664047129764561,0.2222222222222222,0.6451338971468844,0.2144583576017539
DeepFace,True,l,Low resolution,9,9,0.5481795131045971,0.1733406310726127,0.4056470754209959,0.3333333333333333,0.6451338971468844,0.31753734324478233
DeepFace,True,o,Original,9,9,0.48988990517167724,0.19157059939014837,0.467227195615554,0.2222222222222222,0.6451338971468844,0.21393953167372398
FER,False,b,Blur,26,24,0.7325648251965223,0.1118189098612668,0.22797044024782273,0.5,0.4842300836073499,0.3672245223975052
FER,False,g,Greyscale,26,25,0.7375254052614086,0.11377719551067383,0.23910115481996383,0.6,0.4842300836073499,0.3465808047926662
FER,False,l,Low resolution,26,23,0.7150933289652299,0.11318675882046537,0.252003527385345,0.5652173913043478,0.4842300836073499,0.3875958661163485
FER,False,o,Original,26,24,0.7266496355418651,0.11769213723593906,0.24796326539538385,0.5833333333333334,0.49680288775495257,0.3598225426725639
FER,True,b,Blur,9,9,0.7793563717347919,0.10783762523598585,0.1924278757945929,0.4444444444444444,0.6451338971468844,0.5855077434371085
FER,True,g,Greyscale,9,8,0.6984596257411195,0.12418352504785386,0.23895907228039082,0.375,0.6451338971468844,0.555292177055091
FER,True,l,Low resolution,9,9,0.6485223245977623,0.13666639823642374,0.267134526455708,0.3333333333333333,0.6451338971468844,0.5379500867034954
FER,True,o,Original,9,8,0.6984596257411195,0.12418352504785386,0.23895907228039082,0.375,0.6451338971468844,0.555292177055091
