img_id,ambiguous,angry,disgust,fear,happy,sad,surprise,neutral,n_ratings,n_responses,dominant_emotion,entropy,source
10_fear,False,0.025210084033613446,0.33613445378151263,0.31932773109243695,0.0,0.04201680672268908,0.2773109243697479,0.0,7,7,disgust,0.6745648480136628,Human pooled reference
11_happy,False,0.013888888888888888,0.0,0.013888888888888888,0.8472222222222222,0.027777777777777776,0.09722222222222222,0.0,7,7,happy,0.3008374418188144,Human pooled reference
12_neutral,True,0.38461538461538464,0.16923076923076924,0.0,0.0,0.06153846153846154,0.0,0.38461538461538464,7,7,angry,0.6203887984688098,Human pooled reference
13_sad,False,0.03896103896103896,0.0,0.06493506493506493,0.0,0.8571428571428571,0.012987012987012988,0.025974025974025976,7,7,sad,0.3018417534384897,Human pooled reference
14_surprise,False,0.042105263157894736,0.09473684210526316,0.15789473684210525,0.0,0.010526315789473684,0.6947368421052632,0.0,8,8,surprise,0.48771733189946814,Human pooled reference
15_angry,True,0.7191011235955056,0.11235955056179775,0.0,0.0,0.033707865168539325,0.02247191011235955,0.11235955056179775,8,8,angry,0.476864671086191,Human pooled reference
16_disgust,False,0.07407407407407407,0.8395061728395061,0.04938271604938271,0.0,0.0,0.037037037037037035,0.0,7,7,disgust,0.31361938353741503,Human pooled reference
17_fear,True,0.02040816326530612,0.05102040816326531,0.42857142857142855,0.0,0.08163265306122448,0.2755102040816326,0.14285714285714285,7,7,fear,0.735930086004117,Human pooled reference
18_happy,True,0.02531645569620253,0.012658227848101266,0.0,0.4936708860759494,0.05063291139240506,0.0,0.4177215189873418,7,7,happy,0.5203464968592858,Human pooled reference
19_neutral,True,0.30952380952380953,0.047619047619047616,0.05952380952380952,0.011904761904761904,0.11904761904761904,0.0,0.4523809523809524,7,7,neutral,0.689061871655755,Human pooled reference
1_angry,False,0.5188679245283019,0.09433962264150944,0.05660377358490566,0.0,0.2830188679245283,0.04716981132075472,0.0,8,8,angry,0.6305518118074886,Human pooled reference
20_sad,True,0.12121212121212122,0.31313131313131315,0.010101010101010102,0.0,0.29292929292929293,0.0,0.26262626262626265,7,7,disgust,0.7074267116257014,Human pooled reference
21_surprise,False,0.0,0.03076923076923077,0.03076923076923077,0.1076923076923077,0.0,0.8307692307692308,0.0,7,7,surprise,0.31257727734806184,Human pooled reference
22_angry,False,0.8,0.1076923076923077,0.0,0.03076923076923077,0.06153846153846154,0.0,0.0,7,7,angry,0.3582872071852147,Human pooled reference
23_disgust,False,0.0975609756097561,0.6463414634146342,0.036585365853658534,0.0,0.0,0.21951219512195122,0.0,7,7,disgust,0.49489316595986577,Human pooled reference
24_fear,False,0.0,0.09183673469387756,0.2857142857142857,0.0,0.40816326530612246,0.21428571428571427,0.0,8,8,sad,0.6542236128939594,Human pooled reference
25_happy,False,0.0,0.011494252873563218,0.0,0.42528735632183906,0.0,0.04597701149425287,0.5172413793103449,8,8,neutral,0.4612388488611847,Human pooled reference
26_neutral,False,0.028169014084507043,0.056338028169014086,0.014084507042253521,0.0,0.1267605633802817,0.0,0.7746478873239436,7,7,neutral,0.4020020672189465,Human pooled reference
27_sad,False,0.01098901098901099,0.04395604395604396,0.0989010989010989,0.0,0.6703296703296703,0.0,0.17582417582417584,7,7,sad,0.5084955832967902,Human pooled reference
28_surprise,True,0.037037037037037035,0.024691358024691357,0.08641975308641975,0.12345679012345678,0.0,0.691358024691358,0.037037037037037035,7,7,surprise,0.5450208937793231,Human pooled reference
29_angry,False,0.75,0.19047619047619047,0.023809523809523808,0.0,0.03571428571428571,0.0,0.0,7,7,angry,0.3800863875310378,Human pooled reference
2_disgust,False,0.14285714285714285,0.6224489795918368,0.02040816326530612,0.0,0.09183673469387756,0.09183673469387756,0.030612244897959183,8,8,disgust,0.6155481212335779,Human pooled reference
30_disgust,False,0.05747126436781609,0.41379310344827586,0.06896551724137931,0.10344827586206896,0.14942528735632185,0.13793103448275862,0.06896551724137931,7,7,disgust,0.8685518670957314,Human pooled reference
31_fear,False,0.08791208791208792,0.01098901098901099,0.0989010989010989,0.0,0.7032967032967034,0.01098901098901099,0.08791208791208792,7,7,sad,0.5154434929120605,Human pooled reference
32_happy,False,0.0,0.0,0.0,0.7,0.0,0.0,0.3,7,7,happy,0.31392215223886444,Human pooled reference
33_neutral,False,0.03225806451612903,0.016129032258064516,0.0,0.04838709677419355,0.03225806451612903,0.0,0.8709677419354839,7,7,neutral,0.2852033664521,Human pooled reference
34_sad,False,0.1346153846153846,0.19230769230769232,0.019230769230769232,0.0,0.6057692307692307,0.04807692307692308,0.0,8,8,sad,0.5717328261890499,Human pooled reference
35_surprise,False,0.0,0.0,0.047619047619047616,0.031746031746031744,0.0,0.9206349206349206,0.0,6,6,surprise,0.16990997991728315,Human pooled reference
3_fear,False,0.034782608695652174,0.06956521739130435,0.4,0.0,0.02608695652173913,0.46956521739130436,0.0,8,8,surprise,0.5749763015046525,Human pooled reference
4_happy,True,0.029411764705882353,0.19607843137254902,0.0196078431372549,0.29411764705882354,0.12745098039215685,0.058823529411764705,0.27450980392156865,9,9,happy,0.8449995380586719,Human pooled reference
5_neutral,False,0.04,0.05333333333333334,0.04,0.0,0.3333333333333333,0.0,0.5333333333333333,8,8,neutral,0.5731520789424683,Human pooled reference
6_sad,False,0.0,0.027777777777777776,0.18055555555555555,0.0,0.5972222222222222,0.0,0.19444444444444445,7,7,sad,0.5318199544465974,Human pooled reference
7_surprise,True,0.041666666666666664,0.0,0.2222222222222222,0.0,0.05555555555555555,0.4861111111111111,0.19444444444444445,7,7,surprise,0.6661660067841048,Human pooled reference
8_angry,False,0.5526315789473685,0.14035087719298245,0.07017543859649122,0.0,0.22807017543859648,0.008771929824561403,0.0,7,7,angry,0.6004571859687355,Human pooled reference
9_disgust,False,0.17757009345794392,0.45794392523364486,0.08411214953271028,0.0,0.037383177570093455,0.24299065420560748,0.0,7,7,disgust,0.6883281260795775,Human pooled reference
